Restricted API,Highly-Correlation API,Sensitive Operation API,Union
,android.hardware.Sensor getVendor,,android.telephony.SmsManager downloadMultimediaMessage
,java.io.ByteArrayOutputStream reset,,android.telephony.SmsManager getDefault
,javax.crypto.KeyGenerator generateKey,,android.telephony.SmsManager sendDataMessage
,java.io.OutputStreamWriter close,,android.telephony.SmsManager sendMultimediaMessage
,android.widget.RadioButton setOnCheckedChangeListener,,android.telephony.SmsManager sendMultipartTextMessage
,android.telephony.SmsManager sendMultipartTextMessage,,android.telephony.SmsManager sendTextMessage
,javax.crypto.KeyGenerator getInstance,,android.telephony.SmsMessage createFromPdu
,java.security.spec.RSAPublicKeySpec RSAPublicKeySpec,,android.telephony.SmsMessage getDisplayMessageBody
,java.security.DigestInputStream DigestInputStream,,android.telephony.SmsMessage getDisplayOriginatingAddress
,android.graphics.NinePatch isNinePatchChunk,,android.telephony.SmsMessage getMessageBody
,android.net.wifi.WifiManager saveConfiguration,,android.telephony.SmsMessage getOriginatingAddress
,android.widget.EditText setGravity,,android.telephony.SubscriptionManager addOnSubscriptionsChangedListener
,java.net.URLConnection getHeaderField,,android.telephony.SubscriptionManager getActiveSubscriptionInfo
,android.graphics.drawable.NinePatchDrawable NinePatchDrawable,,android.telephony.SubscriptionManager getActiveSubscriptionInfoCount
,java.util.concurrent.ScheduledExecutorService awaitTermination,,android.telephony.SubscriptionManager getActiveSubscriptionInfoForSimSlotIndex
,java.net.Proxy Proxy,,android.telephony.SubscriptionManager getActiveSubscriptionInfoList
,java.io.FileWriter close,,android.telephony.TelephonyManager getAllCellInfo
,java.io.BufferedReader ready,,android.telephony.TelephonyManager getCellLocation
,android.widget.RadioButton isChecked,,android.telephony.TelephonyManager getDeviceId
,android.webkit.WebView removeAllViews,,android.telephony.TelephonyManager getDeviceSoftwareVersion
,android.text.format.Time Time,,android.telephony.TelephonyManager getGroupIdLevel1
,java.util.Properties put,,android.telephony.TelephonyManager getLine1Number
,org.apache.http.params.HttpConnectionParams setStaleCheckingEnabled,,android.telephony.TelephonyManager getNeighboringCellInfo
,java.lang.Integer byteValue,,android.telephony.TelephonyManager getSimSerialNumber
,android.content.ContentResolver delete,,android.telephony.TelephonyManager getSimState
,android.widget.LinearLayout setBackgroundDrawable,,android.telephony.TelephonyManager getSubscriberId
,java.lang.reflect.AccessibleObject setAccessible,,android.telephony.TelephonyManager getVoiceMailAlphaTag
,java.util.zip.GZIPOutputStream finish,,android.telephony.TelephonyManager getVoiceMailNumber
,android.view.Window setIcon,,android.telephony.TelephonyManager listen
,java.lang.IllegalAccessError printStackTrace,,android.text.Editable toString
,android.content.ContextWrapper sendOrderedBroadcastAsUser,,android.text.format.Time set
,android.view.Window setLogo,,android.text.format.Time Time
,android.content.ContextWrapper sendStickyBroadcastAsUser,,android.text.format.Time toMillis
,android.content.ContextWrapper sendStickyOrderedBroadcastAsUser,,android.util.Base64 decode
,android.content.ContextWrapper sendBroadcastAsUser,,android.util.Base64 encode
,android.hardware.Sensor getName,,android.view.animation.AlphaAnimation start
,android.content.ContextWrapper sendStickyOrderedBroadcast,,android.view.inputmethod.InputMethodManager showInputMethodAndSubtypeEnabler
,android.content.ContextWrapper removeStickyBroadcast,,android.view.ViewGroup addView
,android.content.ContextWrapper sendOrderedBroadcast,,android.view.ViewManager addView
,android.content.ContextWrapper sendStickyBroadcast,,android.view.ViewManager removeView
,android.content.ContextWrapper createPackageContext,,android.view.Window getLayoutInflater
,java.lang.reflect.InvocationTargetException printStackTrace,,android.view.Window setIcon
,java.io.BufferedWriter write,,android.view.Window setLogo
,android.widget.EditText setTextSize,,android.view.WindowManager aadView
,android.content.ContextWrapper stopService,,android.webkit.CookieManager removeAllCookie
,java.util.WeakHashMap keySet,,android.webkit.WebChromeClient onRequestFocus
,android.content.pm.ServiceInfo ServiceInfo,,android.webkit.WebSettings getMinimumFontSize
,android.os.Bundle getClassLoader,,android.webkit.WebSettings setDefaultZoom
,org.xmlpull.v1.XmlPullParser nextText,,android.webkit.WebSettings setMinimumFontSize
,android.view.Window getLayoutInflater,,android.webkit.WebSettings setTextSize
,java.util.jar.Manifest read,,android.webkit.WebView getVisibility
,java.util.jar.Attributes putAll,,android.webkit.WebView removeAllViews
,java.util.zip.ZipEntry setCompressedSize,,android.webkit.WebView removeJavascriptInterface
,android.webkit.WebChromeClient onRequestFocus,,android.webkit.WebView saveWebArchive
,android.app.Application getDir,,android.webkit.WebView setDownloadListener
,javax.crypto.EncryptedPrivateKeyInfo getKeySpec,,android.webkit.WebView setTag
,java.util.jar.Attributes Attributes,,android.webkit.WebView setVerticalScrollbarOverlay
,java.util.jar.Attributes putValue,,android.widget.Button setLeft
,android.app.Instrumentation onException,,android.widget.CheckBox getTextColors
,android.app.Instrumentation callActivityOnRestoreInstanceState,,android.widget.EditText getContext
,android.app.Instrumentation callActivityOnUserLeaving,,android.widget.EditText setFocusable
,android.app.Instrumentation callActivityOnPostCreate,,android.widget.EditText setFocusableInTouchMode
,android.app.Instrumentation callActivityOnSaveInstanceState,,android.widget.EditText setGravity
,android.app.Instrumentation callActivityOnStart,,android.widget.EditText setTextSize
,dalvik.system.DexClassLoader findLibrary,,android.widget.LinearLayout setBackgroundDrawable
,android.app.Instrumentation callActivityOnNewIntent,,android.widget.LinearLayout setMinimumWidth
,android.content.ContextWrapper sendBroadcast,,android.widget.QuickContactBadge assignContactFromEmail
,android.widget.CheckBox getTextColors,,android.widget.QuickContactBadge assignContactFromPhone
,android.content.pm.ProviderInfo ProviderInfo,,android.widget.QuickContactBadge onClick
,,,android.widget.RadioButton isChecked
,,,android.widget.RadioButton setOnCheckedChangeListener
,,,android.widget.TextView setText
,,,android.widget.Toast cancel
,,,dalvik.system.BaseDexClassLoader BaseDexClassLoader
,,,dalvik.system.DexClassLoader DexClassLoader
,,,dalvik.system.DexClassLoader findLibrary
,,,dalvik.system.DexFile DexFile
,,,dalvik.system.InMemoryDexClassLoader InMemoryDexClassLoader
,,,dalvik.system.PathClassLoader PathClassLoader
,,,java.io.BufferedInputStream mark
,,,java.io.BufferedInputStream reset
,,,java.io.BufferedReader ready
,,,java.io.BufferedWriter close
,,,java.io.BufferedWriter write
,,,java.io.ByteArrayOutputStream reset
,,,java.io.DataInputStream readLine
,,,java.io.File createNewFile
,,,java.io.File delete
,,,java.io.File list
,,,java.io.File listFiles
,,,java.io.File mkdir
